iter	Passed	Remaining
0	188	56260
1	244	36500
2	303	30059
3	371	27455
4	423	25010
5	475	23277
6	522	21855
7	571	20844
8	620	20068
9	670	19434
10	713	18734
11	755	18131
12	801	17701
13	844	17245
14	888	16878
15	931	16529
16	977	16277
17	1020	15995
18	1064	15750
19	1108	15515
20	1150	15280
21	1191	15053
22	1236	14886
23	1278	14701
24	1319	14512
25	1361	14348
26	1403	14193
27	1445	14042
28	1484	13873
29	1525	13728
30	1565	13583
31	1607	13461
32	1647	13326
33	1691	13235
34	1732	13120
35	1775	13021
36	1815	12907
37	1856	12797
38	1895	12688
39	1935	12583
40	1975	12479
41	2016	12384
42	2056	12293
43	2097	12203
44	2140	12129
45	2179	12035
46	2219	11946
47	2259	11864
48	2298	11774
49	2339	11697
50	2379	11615
51	2418	11533
52	2462	11475
53	2500	11391
54	2541	11322
55	2582	11254
56	2622	11179
57	2663	11114
58	2703	11042
59	2742	10971
60	2785	10913
61	2824	10843
62	2862	10769
63	2905	10714
64	2943	10643
65	2985	10586
66	3024	10517
67	3062	10447
68	3104	10392
69	3144	10330
70	3182	10266
71	3224	10211
72	3263	10149
73	3304	10092
74	3346	10038
75	3387	9983
76	3426	9924
77	3465	9864
78	3506	9810
79	3545	9751
80	3586	9696
81	3626	9641
82	3666	9585
83	3707	9533
84	3746	9475
85	3787	9425
86	3827	9371
87	3869	9322
88	3908	9266
89	3947	9211
90	3988	9160
91	4028	9107
92	4068	9054
93	4108	9004
94	4149	8955
95	4188	8901
96	4229	8851
97	4270	8801
98	4308	8748
99	4351	8702
100	4390	8651
101	4429	8599
102	4471	8552
103	4510	8499
104	4551	8452
105	4591	8403
106	4631	8353
107	4671	8305
108	4711	8255
109	4752	8209
110	4793	8161
111	4833	8113
112	4874	8066
113	4912	8014
114	4952	7967
115	4996	7926
116	5036	7877
117	5075	7828
118	5116	7782
119	5155	7733
120	5195	7686
121	5235	7639
122	5274	7590
123	5316	7546
124	5355	7497
125	5393	7448
126	5436	7404
127	5474	7356
128	5515	7310
129	5556	7266
130	5596	7219
131	5637	7174
132	5677	7128
133	5716	7081
134	5756	7035
135	5796	6989
136	5835	6942
137	5876	6898
138	5916	6852
139	5955	6805
140	5997	6762
141	6036	6716
142	6076	6671
143	6114	6624
144	6154	6579
145	6194	6533
146	6233	6487
147	6273	6443
148	6313	6398
149	6352	6352
150	6390	6305
151	6431	6262
152	6470	6216
153	6510	6172
154	6552	6129
155	6593	6085
156	6633	6041
157	6671	5995
158	6712	5952
159	6753	5909
160	6793	5865
161	6833	5821
162	6874	5777
163	6914	5733
164	6953	5688
165	6995	5647
166	7036	5604
167	7077	5561
168	7117	5517
169	7155	5471
170	7196	5429
171	7235	5384
172	7276	5341
173	7316	5298
174	7354	5253
175	7394	5209
176	7436	5167
177	7476	5124
178	7515	5080
179	7554	5036
180	7593	4992
181	7634	4949
182	7675	4907
183	7714	4863
184	7755	4820
185	7795	4777
186	7834	4733
187	7876	4692
188	7916	4649
189	7955	4605
190	7997	4563
191	8037	4521
192	8077	4478
193	8116	4434
194	8157	4392
195	8199	4350
196	8238	4307
197	8277	4264
198	8318	4221
199	8358	4179
200	8399	4137
201	8439	4094
202	8476	4050
203	8516	4007
204	8556	3965
205	8597	3923
206	8638	3880
207	8676	3837
208	8716	3795
209	8757	3753
210	8797	3710
211	8837	3668
212	8876	3625
213	8915	3583
214	8956	3541
215	8996	3498
216	9038	3457
217	9079	3415
218	9119	3372
219	9158	3330
220	9200	3288
221	9241	3246
222	9281	3204
223	9321	3162
224	9361	3120
225	9400	3078
226	9438	3035
227	9477	2992
228	9517	2950
229	9557	2908
230	9596	2866
231	9639	2825
232	9678	2783
233	9716	2740
234	9759	2699
235	9798	2657
236	9839	2615
237	9880	2573
238	9920	2531
239	9961	2490
240	10000	2448
241	10040	2406
242	10081	2364
243	10122	2323
244	10161	2281
245	10202	2239
246	10243	2198
247	10283	2156
248	10324	2114
249	10363	2072
250	10403	2031
251	10442	1989
252	10480	1946
253	10523	1905
254	10562	1863
255	10605	1822
256	10646	1781
257	10686	1739
258	10727	1698
259	10768	1656
260	10807	1614
261	10850	1573
262	10889	1532
263	10928	1490
264	10971	1449
265	11011	1407
266	11052	1366
267	11092	1324
268	11133	1282
269	11174	1241
270	11214	1200
271	11254	1158
272	11298	1117
273	11337	1075
274	11377	1034
275	11417	992
276	11456	951
277	11496	909
278	11535	868
279	11574	826
280	11615	785
281	11655	743
282	11693	702
283	11735	661
284	11773	619
285	11814	578
286	11854	536
287	11893	495
288	11936	454
289	11975	412
290	12014	371
291	12055	330
292	12095	288
293	12134	247
294	12175	206
295	12215	165
296	12255	123
297	12294	82
298	12333	41
299	12373	0
